fecha;mes;maxima;minima;media;precipitacion
1991;Enero;28,4;19,8;24,1;120
1991;Febrero;27,8;17,8;22,8;160,7
1991;Marzo;27,6;18,4;23;128,6
1991;Abril;22,4;13,6;18;106,1
1991;Mayo;20,7;12,2;16,45;57,7
1991;Junio;14,8;7,6;11,2;41,2
1991;Julio;14,8;6,7;10,75;37,3
1991;Agosto;17,1;9,3;13,2;83,6
1991;Septiembre;20,5;11,7;16,1;82,7
1991;Octubre;21,1;12,2;16,65;126,6
1991;Noviembre;24,3;15,3;19,8;78,8
1991;Diciembre;27,8;18,7;23,25;177,1
1992;Enero;28,5;19,8;24,15;163,9
1992;Febrero;29;19,8;24,4;95,7
1992;Marzo;27,4;18,9;23,15;84,5
1992;Abril;21,9;13,2;17,55;76,2
1992;Mayo;18,5;10,1;14,3;66
1992;Junio;16,6;10,3;13,45;56
1992;Julio;12,6;5,3;8,95;52,3
1992;Agosto;17,8;8,5;13,15;56
1992;Septiembre;19,1;10,3;14,7;83,3
1992;Octubre;23,6;12,9;18,25;81,2
1992;Noviembre;23,4;14;18,7;102,7
1992;Diciembre;27,7;18,7;23,2;119,2
1993;Enero;30,7;21,2;25,95;127,8
1993;Febrero;27;19;23;146,1
1993;Marzo;28;18,8;23,4;86
1993;Abril;23,2;14,6;18,9;100
1993;Mayo;18,4;10,7;14,55;82,2
1993;Junio;15,5;8,5;12;36,9
1993;Julio;13,7;6,2;9,95;59,3
1993;Agosto;18,2;8;13,1;50,2
1993;Septiembre;18,3;9,4;13,85;52,6
1993;Octubre;20,9;14,2;17,55;145,9
1993;Noviembre;23,6;15,8;19,7;162
1993;Diciembre;25,8;18,2;22;161,6
1994;Enero;28,4;18,7;23,55;113,2
1994;Febrero;28,9;19,3;24,1;85,6
1994;Marzo;26,6;17,6;22,1;124,7
1994;Abril;22,3;13,2;17,75;94,7
1994;Mayo;20,2;12,5;16,35;55,8
1994;Junio;16,6;9,6;13,1;54,8
1994;Julio;15,3;7,5;11,4;36,4
1994;Agosto;17;8,8;12,9;85,6
1994;Septiembre;20,3;11,7;16;63,5
1994;Octubre;21,6;13,3;17,45;123
1994;Noviembre;26,9;17,1;22;104,4
1994;Diciembre;30,7;20,5;25,6;133,9
1995;Enero;29,4;19,5;24,45;136,5
1995;Febrero;28,4;18,4;23,4;93,3
1995;Marzo;27,4;17,3;22,35;147,6
1995;Abril;23,3;13,5;18,4;118,8
1995;Mayo;19,5;10,8;15,15;101,6
1995;Junio;15,7;7,2;11,45;70,8
1995;Julio;15,4;7;11,2;58,9
1995;Agosto;16,9;7,8;12,35;86,2
1995;Septiembre;19,9;11,1;15,5;54
1995;Octubre;22,3;12,6;17,45;85,7
1995;Noviembre;26,4;17;21,7;81
1995;Diciembre;30,1;19,3;24,7;115,2
1996;Enero;30,1;19,9;25;121,3
1996;Febrero;28,9;19,1;24;100,9
1996;Marzo;28,5;18,8;23,65;136,3
1996;Abril;22,8;14,8;18,8;88,7
1996;Mayo;20,5;10,8;15,65;64,7
1996;Junio;15;5,6;10,3;56,7
1996;Julio;14,6;5,9;10,25;40,6
1996;Agosto;20,3;10,3;15,3;80,5
1996;Septiembre;18,5;9,6;14,05;53,2
1996;Octubre;23,1;14,2;18,65;149
1996;Noviembre;26,9;17,1;22;145
1996;Diciembre;29,6;20;24,8;103,1
1997;Enero;31,5;21,7;26,6;84,5
1997;Febrero;28,4;18,6;23,5;148,8
1997;Marzo;27,7;17,9;22,8;126,5
1997;Abril;25,4;15,2;20,3;115,5
1997;Mayo;21,5;12,5;17;92,2
1997;Junio;15,9;9;12,45;38
1997;Julio;17,8;10,5;14,15;49,3
1997;Agosto;19,3;10,5;14,9;47,6
1997;Septiembre;19,3;10;14,65;97,3
1997;Octubre;21,7;13,5;17,6;119,9
1997;Noviembre;24,6;15,9;20,25;106,1
1997;Diciembre;26,7;17,6;22,15;90,1
1998;Enero;27,2;18,3;22,75;113,9
1998;Febrero;26,2;17,5;21,85;105,6
1998;Marzo;25,6;16,2;20,9;128,4
1998;Abril;22;14,6;18,3;108,9
1998;Mayo;19,5;11,6;15,55;98,7
1998;Junio;16,4;8,2;12,3;53,9
1998;Julio;16,6;9,3;12,95;39,8
1998;Agosto;17,2;7,8;12,5;76,2
1998;Septiembre;18,6;8,7;13,65;91,6
1998;Octubre;23,5;13,6;18,55;114,9
1998;Noviembre;24,7;15,5;20,1;144,8
1998;Diciembre;28,4;17,6;23;131,4
1999;Enero;27,4;18,1;22,75;134,2
1999;Febrero;27,9;18,8;23,35;114,6
1999;Marzo;27,2;18,7;22,95;72
1999;Abril;20,7;12,6;16,65;70,8
1999;Mayo;19,1;10,3;14,7;50,8
1999;Junio;15,2;8,1;11,65;60,5
1999;Julio;15,2;7,3;11,25;47,6
1999;Agosto;18,5;8,6;13,55;66,4
1999;Septiembre;19,8;11,4;15,6;99,8
1999;Octubre;22,2;13,6;17,9;89,9
1999;Noviembre;25,8;15,7;20,75;113,1
1999;Diciembre;29,8;18,2;24;156,5
2000;Enero;30,5;21,2;25,85;106
2000;Febrero;29,2;20,2;24,7;83,8
2000;Marzo;26,5;17,4;21,95;93,2
2000;Abril;23,3;14,7;19;74,6
2000;Mayo;17,5;11;14,25;101,1
2000;Junio;16;10,1;13,05;67,3
2000;Julio;13;5,9;9,45;60,3
2000;Agosto;16,7;8,1;12,4;83,8
2000;Septiembre;18,7;10,2;14,45;94
2000;Octubre;21,3;13,9;17,6;84,9
2000;Noviembre;24;14,9;19,45;155,5
2000;Diciembre;28,8;17,9;23,35;135,8
2001;Enero;30,2;20,9;25,55;161,5
2001;Febrero;29,9;20;24,95;155,9
2001;Marzo;26,9;19;22,95;95,4
2001;Abril;23,1;13,6;18,35;70,9
2001;Mayo;17,6;10,1;13,85;61,8
2001;Junio;16,7;8,7;12,7;52,1
2001;Julio;15,3;7;11,15;67,7
2001;Agosto;19,4;11,1;15,25;83,3
2001;Septiembre;18,7;10,7;14,7;49,4
2001;Octubre;21,3;14,6;17,95;110,9
2001;Noviembre;24,7;15,7;20,2;113,7
2001;Diciembre;27,8;18;22,9;105,3
2002;Enero;29,6;19,6;24,6;95,5
2002;Febrero;28,3;18,3;23,3;106,7
2002;Marzo;25,9;18,2;22,05;145,4
2002;Abril;21,6;13;17,3;86,3
2002;Mayo;20,8;12,4;16,6;78,1
2002;Junio;15,4;6,3;10,85;63,1
2002;Julio;15,3;7,4;11,35;49,5
2002;Agosto;18,8;10;14,4;88,6
2002;Septiembre;19,3;10,5;14,9;102,9
2002;Octubre;24,1;14,9;19,5;90,1
2002;Noviembre;26,5;16,5;21,5;120,8
2002;Diciembre;27,3;18,2;22,75;112,9
2003;Enero;30,7;20,1;25,4;111,3
2003;Febrero;28,5;18,4;23,45;80,2
2003;Marzo;27;18,1;22,55;118,8
2003;Abril;22;13,1;17,55;99,2
2003;Mayo;19,5;11,2;15,35;51,9
2003;Junio;16,8;9,1;12,95;46,1
2003;Julio;15,9;6,4;11,15;71,3
2003;Agosto;16,5;7,5;12;53,5
2003;Septiembre;19,2;9,8;14,5;57,1
2003;Octubre;24,1;13,9;19;109,2
2003;Noviembre;25,3;15,5;20,4;163,7
2003;Diciembre;27,2;16,3;21,75;107,2
2004;Enero;30,4;19,8;25,1;148,5
2004;Febrero;28,1;18,4;23,25;144
2004;Marzo;28,5;18,6;23,55;89
2004;Abril;24,7;15,3;20;115,4
2004;Mayo;17,6;9,1;13,35;69,6
2004;Junio;17,3;9,7;13,5;60,3
2004;Julio;16,4;8,1;12,25;60,3
2004;Agosto;17,9;9,7;13,8;67,7
2004;Septiembre;21,2;10,9;16,05;54,1
2004;Octubre;22,5;12,4;17,45;136,8
2004;Noviembre;24,1;15,3;19,7;105,2
2004;Diciembre;28,2;18,5;23,35;101,9
2005;Enero;31,2;20,3;25,75;87,9
2005;Febrero;28,5;19,9;24,2;129
2005;Marzo;26,1;16,7;21,4;124,2
2005;Abril;22,6;11,6;17,1;64,2
2005;Mayo;19,3;10,3;14,8;77,7
2005;Junio;17,7;10,5;14,1;44,1
2005;Julio;16,4;8,8;12,6;60,8
2005;Agosto;17,2;8,7;12,95;50,4
2005;Septiembre;18,6;9,7;14,15;87,7
2005;Octubre;22,6;11,6;17,1;100,9
2005;Noviembre;28;17,1;22,55;159,4
2005;Diciembre;28,1;16,5;22,3;97,2
2006;Enero;29,2;20;24,6;116,7
2006;Febrero;28,9;19,4;24,15;87
2006;Marzo;25,3;15,8;20,55;144
2006;Abril;23,6;14,4;19;126,2
2006;Mayo;18,5;9,2;13,85;63,4
2006;Junio;16,9;9,3;13,1;61,4
2006;Julio;17,8;10,4;14,1;67,7
2006;Agosto;16,8;8;12,4;68,6
2006;Septiembre;20,8;10,5;15,65;78,7
2006;Octubre;24,7;14,8;19,75;89,3
2006;Noviembre;25,5;15,6;20,55;85,2
2006;Diciembre;29,6;19,7;24,65;170,1
2007;Enero;29,4;20,1;24,75;170,4
2007;Febrero;30,1;19,7;24,9;132,7
2007;Marzo;26;18;22;97,1
2007;Abril;23,2;14,5;18,85;88,1
2007;Mayo;17,1;8,3;12,7;89,7
2007;Junio;15,6;6;10,8;70,9
2007;Julio;14,1;4,6;9,35;70,5
2007;Agosto;14,6;5,9;10,25;79,4
2007;Septiembre;21,4;12,7;17,05;85
2007;Octubre;23,7;14,4;19,05;76,7
2007;Noviembre;25;12,7;18,85;91,2
2007;Diciembre;29,3;18;23,65;170,3
2008;Enero;30,6;20,6;25,6;142,2
2008;Febrero;29,9;20,7;25,3;77,8
2008;Marzo;26,6;17,6;22,1;78,1
2008;Abril;24,9;13,1;19;110,8
2008;Mayo;20,8;10,6;15,7;49,3
2008;Junio;16,2;7,3;11,75;41,4
2008;Julio;17,7;10,7;14,2;56,9
2008;Agosto;17,9;7,8;12,85;75,2
2008;Septiembre;18,6;10,5;14,55;85,5
2008;Octubre;23,3;13,3;18,3;87,9
2008;Noviembre;30;19,5;24,75;139,7
2008;Diciembre;29,3;19,3;24,3;106,8
2009;Enero;31,1;20,6;25,85;115,2
2009;Febrero;29,9;19,4;24,65;142,7
2009;Marzo;28,2;19;23,6;122
2009;Abril;25;14,4;19,7;124,1
2009;Mayo;21,2;11,5;16,35;85,8
2009;Junio;16,1;7,1;11,6;57,7
2009;Julio;15,5;6,1;10,8;38,7
2009;Agosto;21,1;10,5;15,795;59,7
2009;Septiembre;17,8;9,4;13,6;63,9
2009;Octubre;22,8;12,8;17,8;89,5
2009;Noviembre;25,7;16,6;21,15;162,6
2009;Diciembre;27;18,1;22,55;121,7
2010;Enero;31,1;20,9;26;169,6
2010;Febrero;28,2;20,2;24,2;132,5
2010;Marzo;27,6;18,5;23,05;133,6
2010;Abril;22,9;13,1;18;99,2
2010;Mayo;20,1;11,7;15,9;81,3
2010;Junio;16,9;8,8;12,85;54,7
2010;Julio;15,3;7;11,15;42,8
2010;Agosto;16,6;7,2;11,9;76,7
2010;Septiembre;19,6;10,9;15,25;64,7
2010;Octubre;21,8;12,2;17;71,9
2010;Noviembre;26,5;15,2;20,85;133,8
2010;Diciembre;30,6;19,6;25,1;101
2011;Enero;30,6;20,9;25,75;174,3
2011;Febrero;28,6;19,4;24;160,9
2011;Marzo;27,4;17,6;22,5;143,2
2011;Abril;23,7;14,1;18,9;89,7
2011;Mayo;19;10,7;14,85;49,9
2011;Junio;15,6;8,4;12;72,1
2011;Julio;15,6;6,7;11,15;52,1
2011;Agosto;15,1;7,7;11,4;88,4
2011;Septiembre;21,7;10,5;16,1;103
2011;Octubre;22,1;12,5;17,3;138,2
2011;Noviembre;27,7;17,5;22,6;102,9
2011;Diciembre;28,1;17,7;22,9;121
2012;Enero;31,8;20,7;26,25;165,7
2012;Febrero;30;19,7;24,85;104,9
2012;Marzo;26,6;16,8;21,7;83,6
2012;Abril;23,3;12,8;18,05;103,1
2012;Mayo;20,6;13,2;16,9;101,4
2012;Junio;16,6;7,9;12,25;62,8
2012;Julio;14,7;4,9;9,8;57,8
2012;Agosto;17,3;10,2;13,75;46,7
2012;Septiembre;20,2;11,1;15,65;83,4
2012;Octubre;22,6;14;18,3;149,2
2012;Noviembre;27,7;17,1;22,4;89,3
2012;Diciembre;29,9;19,1;24,5;133,8
2013;Enero;30,3;20,2;25,25;168,2
2013;Febrero;29,1;19,2;24,15;142,2
2013;Marzo;25,2;15,4;20,3;125,8
2013;Abril;24,3;13,9;19,1;113,6
2013;Mayo;19,4;10,6;15;69,1
2013;Junio;17,8;8,1;12,95;46,7
2013;Julio;16,3;7,7;12;67,4
2013;Agosto;18;7,3;12,65;80,9
2013;Septiembre;18,8;10;14,4;97,6
2013;Octubre;23;13,9;18,45;143,1
2013;Noviembre;26,1;16,1;21,1;122
2013;Diciembre;32,5;21,5;27;132,1
2014;Enero;31,2;20;25,6;160,6
2014;Febrero;27;18,9;22,95;134,2
2014;Marzo;25,5;15,9;20,7;126,2
2014;Abril;22,4;14,2;18,3;120,3
2014;Mayo;18,5;11,4;14,95;98,8
2014;Junio;17;7,8;12,4;48,5
2014;Julio;16,5;8,3;12,4;50
2014;Agosto;20,5;10,2;15,35;46,5
2014;Septiembre;20,7;11,5;16,1;81,4
2014;Octubre;24,8;15,6;20,2;72,9
2014;Noviembre;26,1;15,7;20,9;118
2014;Diciembre;29;17,9;23,45;136,1
2015;Enero;29,4;19,2;24,3;111,5
2015;Febrero;29,5;20;24,75;129
2015;Marzo;28;17,9;22,95;72,4
2015;Abril;26;15,4;20,7;65,7
2015;Mayo;21,2;12,4;16,8;95,1
2015;Junio;18,2;8,8;13,5;49,4
2015;Julio;16,7;8,7;12,7;40,1
2015;Agosto;18,7;11,4;15,05;67,1
2015;Septiembre;19,2;10,1;14,65;92,1
2015;Octubre;20,2;11,7;15,95;87,3
2015;Noviembre;24,8;15,5;20,15;131,8
2015;Diciembre;29,8;19,9;24,85;92,2
2016;Enero;31;21,3;26,15;89
2016;Febrero;31,2;21;26,1;123,8
2016;Marzo;25,8;16,5;21,15;113,3
2016;Abril;20,6;14;17,3;108,9
2016;Mayo;16;9,2;12,6;89,7
2016;Junio;14,8;6,4;10,6;74
2016;Julio;14,1;7,8;10,95;55,7
2016;Agosto;18,8;8,6;13,7;57,5
2016;Septiembre;19,2;9,9;14,55;93,5
2016;Octubre;21,8;13,8;17,8;91,7
2016;Noviembre;26,5;15,7;21,1;115,6
2016;Diciembre;30,8;19,7;25,25;91,5
2017;Enero;30,4;20,9;25,65;86,4
2017;Febrero;30,1;20,6;25,35;161,7
2017;Marzo;26,9;18;22,45;136,9
2017;Abril;23,5;14,3;18,9;113,1
2017;Mayo;19,5;12,3;15,9;71,9
2017;Junio;17,9;9,5;13,7;41,9
2017;Julio;17;9,7;13,35;41,3
2017;Agosto;19,2;11,1;15,15;54
2017;Septiembre;20,3;11,6;15,95;79,8
2017;Octubre;23;11,3;17,15;127,2
2017;Noviembre;26,2;15,2;20,7;135,1
2017;Diciembre;30,3;19,1;24,7;110,9
2018;Enero;31,4;20,8;26,1;175,7
2018;Febrero;30,4;20,3;25,35;141,9
2018;Marzo;27,9;17,1;22,5;114,3
2018;Abril;25,7;18,6;22,15;107
2018;Mayo;20,3;13,2;16,75;72,5
2018;Junio;15,7;6,9;11,3;44,9
2018;Julio;13,5;8;10,75;49,2
2018;Agosto;17;8;12,5;78,4
2018;Septiembre;21,5;13,8;17,65;49,8
2018;Octubre;22,4;13,2;17,8;79,3
2018;Noviembre;26,3;16,7;21,5;81
2018;Diciembre;27,4;17,6;22,5;87,9
2019;Enero;29,3;20,7;25;166,1
2019;Febrero;29,1;19,2;24,15;138,9
2019;Marzo;25,6;16,8;21,2;107,9
2019;Abril;24,3;15;19,65;70
2019;Mayo;20,1;12;16,05;76,5
2019;Junio;17,8;11,3;14,55;53,9
2019;Julio;15,9;11,7;13,8;41,9
2019;Agosto;17,1;8,6;12,85;62,8
2019;Septiembre;20,4;10,4;15,4;71,3
2019;Octubre;22;13;17,5;119,3
2019;Noviembre;27,8;17,6;22,7;132,9
2019;Diciembre;29,5;18;23,75;88,3
2020;Enero;30;20,2;25,1;120
2020;Febrero;29,6;19,3;24,45;132,1
2020;Marzo;28,6;20,1;24,35;110,3
2020;Abril;22,8;13,6;18,2;124,7
2020;Mayo;20,4;11;15,7;85,9
2020;Junio;16,9;9,1;13;41,5
